,time,code,open,high,low,close,volume,amount,open_interest
23358,2011-01-04 15:00:00,szse.000069,180.53810490528002,191.60048878428,178.17812967776,189.53551046020002,297445.0,376632928.0,
23359,2011-01-05 15:00:00,szse.000069,187.3230336844,191.747987236,186.14304607064,187.61803058784002,141432.0,180976016.0,
23360,2011-01-06 15:00:00,szse.000069,187.91302749128002,189.68300891192,186.14304607064,188.65051974988,119151.0,152145616.0,
23361,2011-01-07 15:00:00,szse.000069,189.38801200848002,194.6979562704,187.76552903956002,190.2730027188,187098.0,243404384.0,
23362,2011-01-10 15:00:00,szse.000069,187.3230336844,194.99295317384002,187.02803678096,187.76552903956002,194766.0,252673248.0,
23363,2011-01-11 15:00:00,szse.000069,187.76552903956002,193.51796865664,187.76552903956002,191.45299033256,235931.0,305006592.0,
23364,2011-01-12 15:00:00,szse.000069,196.61543614276002,206.49783240800002,193.51796865664,197.64792530480003,589631.0,796835780.0,
23365,2011-01-13 15:00:00,szse.000069,196.76293459448001,199.56540517716,194.25546091524,195.58294698072,221757.0,295530720.0,
23366,2011-01-14 15:00:00,szse.000069,194.25546091524,196.9104330462,191.45299033256,195.73044543244,194595.0,256423776.0,
23367,2011-01-17 15:00:00,szse.000069,193.2229717532,196.02544233588,179.9481110984,181.12809871216,240228.0,304132288.0,
23368,2011-01-18 15:00:00,szse.000069,179.9481110984,188.20802439472,179.35811729152002,184.66806155344,156393.0,195875776.0,
23369,2011-01-19 15:00:00,szse.000069,183.78307084312002,189.53551046020002,181.71809251904,188.79801820160003,123782.0,156285024.0,
23370,2011-01-20 15:00:00,szse.000069,187.47053213612003,187.47053213612003,174.93316373992,179.06312038808002,154755.0,190203936.0,
23371,2011-01-21 15:00:00,szse.000069,178.4731265812,188.79801820160003,177.44063741916,185.55305226376,238802.0,298122880.0,
23372,2011-01-24 15:00:00,szse.000069,185.11055690860002,191.0104949774,181.4230956156,188.20802439472,180017.0,228134384.0,
23373,2011-01-25 15:00:00,szse.000069,188.06052594300002,191.89548568772,185.8480491672,188.35552284644,122420.0,157048944.0,
