,time,code,open,high,low,close,volume,amount,open_interest
4616,2011-01-04 15:00:00,szse.002475,55.5,56.89,54.67,55.75,12242.0,68250288.0,
4617,2011-01-05 15:00:00,szse.002475,55.5,55.8,54.1,55.56,11834.0,64811784.0,
4618,2011-01-06 15:00:00,szse.002475,55.56,56.59,54.3,56.07,9561.0,53011248.0,
4619,2011-01-07 15:00:00,szse.002475,55.88,56.58,54.0,54.8,10411.0,57480388.0,
4620,2011-01-11 15:00:00,szse.002475,52.8,52.9,49.33,49.51,17797.0,89808224.0,
4621,2011-01-12 15:00:00,szse.002475,49.65,51.5,48.4,49.98,14221.0,71227704.0,
4622,2011-01-13 15:00:00,szse.002475,50.28,50.96,49.82,50.25,6736.0,33874228.0,
4623,2011-01-14 15:00:00,szse.002475,51.6,51.6,48.4,49.0,6447.0,31878590.0,
4624,2011-01-17 15:00:00,szse.002475,50.6,50.6,44.9,46.3,16204.0,75233024.0,
4625,2011-01-18 15:00:00,szse.002475,46.4,47.35,45.08,46.11,8443.0,39233300.0,
4626,2011-01-19 15:00:00,szse.002475,47.38,47.95,46.14,47.45,8656.0,40783908.0,
4627,2011-01-20 15:00:00,szse.002475,47.3,47.8,45.3,45.5,7312.0,33685524.0,
4628,2011-01-21 15:00:00,szse.002475,45.01,48.58,45.0,47.1,12003.0,56207096.0,
4629,2011-01-24 15:00:00,szse.002475,47.9,47.9,45.83,46.0,7872.0,36827756.0,
4630,2011-01-25 15:00:00,szse.002475,46.0,46.88,45.4,46.44,8402.0,38590716.0,
4631,2011-01-26 15:00:00,szse.002475,46.0,47.75,46.0,47.25,4177.0,19655682.0,
4632,2011-01-27 15:00:00,szse.002475,47.19,48.0,46.88,47.81,5586.0,26574602.0,
4633,2011-01-28 15:00:00,szse.002475,47.82,48.09,47.2,48.04,3449.0,16431701.0,
4634,2011-01-31 15:00:00,szse.002475,48.05,48.4,47.31,47.96,5070.0,24224034.0,
4635,2011-02-01 15:00:00,szse.002475,48.18,48.92,47.56,48.36,4325.0,20915150.0,
4636,2011-02-09 15:00:00,szse.002475,48.34,48.34,46.0,46.0,6998.0,32765690.0,
4637,2011-02-10 15:00:00,szse.002475,46.0,47.59,45.82,47.51,4011.0,18835576.0,
4638,2011-02-11 15:00:00,szse.002475,47.5,49.8,47.5,49.4,6412.0,31519220.0,
4639,2011-02-14 15:00:00,szse.002475,49.2,50.5,49.1,50.25,6021.0,30084920.0,
4640,2011-02-15 15:00:00,szse.002475,50.04,51.19,49.6,50.0,5998.0,30258100.0,
4641,2011-02-16 15:00:00,szse.002475,49.66,50.86,49.51,50.31,5882.0,29538216.0,
4642,2011-02-17 15:00:00,szse.002475,50.25,51.49,49.6,49.95,7998.0,40267728.0,
4643,2011-02-18 15:00:00,szse.002475,49.71,51.18,49.0,50.66,11846.0,59616444.0,
4644,2011-02-21 15:00:00,szse.002475,49.85,52.1,49.73,51.94,7815.0,40198080.0,
4645,2011-02-22 15:00:00,szse.002475,52.1,52.4,49.88,50.16,7520.0,38249836.0,
4646,2011-02-23 15:00:00,szse.002475,50.0,50.68,49.88,50.36,4312.0,21636186.0,
4647,2011-02-24 15:00:00,szse.002475,50.37,51.34,50.2,51.26,5100.0,25927554.0,
4648,2011-02-25 15:00:00,szse.002475,51.3,51.75,50.58,50.8,4355.0,22133470.0,
4649,2011-02-28 15:00:00,szse.002475,50.8,50.8,49.9,50.7,7810.0,39263984.0,
4650,2011-03-01 15:00:00,szse.002475,50.1,51.48,50.0,50.4,4106.0,20848912.0,
4651,2011-03-02 15:00:00,szse.002475,50.09,50.63,49.6,50.63,4041.0,20200998.0,
4652,2011-03-03 15:00:00,szse.002475,50.16,51.45,49.85,50.0,4727.0,23908924.0,
4653,2011-03-04 15:00:00,szse.002475,50.0,50.29,47.91,48.21,10668.0,51827820.0,
4654,2011-03-07 15:00:00,szse.002475,48.2,48.98,48.0,48.03,7347.0,35465632.0,
4655,2011-03-08 15:00:00,szse.002475,48.03,48.4,47.22,47.78,7908.0,37614728.0,
4656,2011-03-09 15:00:00,szse.002475,48.28,49.03,47.8,48.5,5679.0,27647310.0,
4657,2011-03-10 15:00:00,szse.002475,48.59,48.65,47.82,48.45,4403.0,21227294.0,
4658,2011-03-11 15:00:00,szse.002475,48.1,49.3,47.7,48.61,5040.0,24675534.0,
4659,2011-03-14 15:00:00,szse.002475,48.73,50.7,48.73,50.7,11433.0,57470672.0,
4660,2011-03-15 15:00:00,szse.002475,51.0,51.0,49.01,50.4,8226.0,41225616.0,
4661,2011-03-16 15:00:00,szse.002475,50.87,50.94,50.0,50.4,5765.0,28983856.0,
4662,2011-03-17 15:00:00,szse.002475,50.03,50.37,48.9,49.86,5868.0,29001328.0,
4663,2011-03-18 15:00:00,szse.002475,49.31,50.35,48.21,48.63,6711.0,32832302.0,
4664,2011-03-21 15:00:00,szse.002475,48.63,48.99,47.0,47.82,6716.0,31906430.0,
4665,2011-03-22 15:00:00,szse.002475,47.6,47.68,46.22,46.5,5969.0,27873692.0,
4666,2011-03-23 15:00:00,szse.002475,46.69,47.1,46.53,46.98,2170.0,10182088.0,
4667,2011-03-24 15:00:00,szse.002475,47.19,47.44,46.0,46.71,3431.0,16027217.0,
4668,2011-03-25 15:00:00,szse.002475,47.13,47.13,46.12,46.65,5624.0,26148748.0,
4669,2011-03-28 15:00:00,szse.002475,46.65,46.66,45.15,45.18,7252.0,33066634.0,
4670,2011-03-29 15:00:00,szse.002475,45.23,45.78,44.78,44.81,6111.0,27585304.0,
4671,2011-03-30 15:00:00,szse.002475,44.99,45.01,42.68,43.14,7804.0,33799808.0,
4672,2011-03-31 15:00:00,szse.002475,43.15,43.77,43.1,43.45,2663.0,11548164.0,
4673,2011-04-01 15:00:00,szse.002475,43.79,43.8,43.22,43.46,2153.0,9354511.0,
4674,2011-04-06 15:00:00,szse.002475,43.47,44.5,43.37,43.43,3650.0,15954925.0,
4675,2011-04-08 15:00:00,szse.002475,44.3,45.4,43.52,44.5,8535.0,38218136.0,
